TIME,CH2
-4.353,0.01
-4.352,0.01
-4.351,0.01
-4.350,0.01
-4.349,0.01
-4.348,0.01
-4.347,0.03
-4.346,-0.01
-4.345,0.01
-4.344,-0.01
-4.343,-0.01
-4.342,0.01
-4.341,0.03
-4.340,0.01
-4.339,0.01
-4.338,0.01
-4.337,0.01
-4.336,0.01
-4.335,0.01
-4.334,0.01
-4.333,0.01
-4.332,0.01
-4.331,-0.01
-4.330,0.01
-4.329,0.01
-4.328,0.01
-4.327,0.01
-4.326,0.01
-4.325,0.01
-4.324,0.01
-4.323,0.01
-4.322,-0.01
-4.321,0.01
-4.320,-0.01
-4.319,0.01
-4.318,0.01
-4.317,0.01
-4.316,0.01
-4.315,0.01
-4.314,0.01
-4.313,0.01
-4.312,0.03
-4.311,0.01
-4.310,0.01
-4.309,0.01
-4.308,0.01
-4.307,-0.01
-4.306,0.01
-4.305,0.01
-4.304,0.01
-4.303,0.01
-4.302,0.01
-4.301,0.01
-4.300,-0.01
-4.299,0.01
-4.298,0.01
-4.297,0.01
-4.296,-0.01
-4.295,0.01
-4.294,0.01
-4.293,0.01
-4.292,-0.01
-4.291,-0.01
-4.290,0.01
-4.289,0.01
-4.288,0.01
-4.287,0.01
-4.286,0.05
-4.285,0.01
-4.284,0.01
-4.283,0.01
-4.282,0.01
-4.281,-0.01
-4.280,0.03
-4.279,-0.01
-4.278,-0.01
-4.277,0.01
-4.276,0.01
-4.275,0.01
-4.274,0.01
-4.273,0.01
-4.272,0.01
-4.271,0.01
-4.270,0.01
-4.269,0.01
-4.268,0.01
-4.267,0.01
-4.266,0.01
-4.265,0.01
-4.264,0.01
-4.263,0.01
-4.262,0.01
-4.261,0.01
-4.260,0.01
-4.259,0.01
-4.258,0.01
-4.257,0.01
-4.256,0.01
-4.255,0.01
-4.254,0.01
-4.253,0.03
-4.252,0.01
-4.251,0.01
-4.250,0.01
-4.249,0.01
-4.248,0.01
-4.247,0.03
-4.246,0.01
-4.245,0.01
-4.244,-0.01
-4.243,0.01
-4.242,0.01
-4.241,0.01
-4.240,-0.01
-4.239,0.01
-4.238,0.01
-4.237,-0.01
-4.236,0.01
-4.235,0.01
-4.234,0.01
-4.233,0.03
-4.232,0.01
-4.231,0.01
-4.230,0.01
-4.229,-0.01
-4.228,0.01
-4.227,0.01
-4.226,0.01
-4.225,-0.01
-4.224,-0.01
-4.223,0.03
-4.222,0.01
-4.221,0.01
-4.220,0.01
-4.219,0.03
-4.218,0.01
-4.217,0.01
-4.216,0.01
-4.215,0.01
-4.214,0.01
-4.213,0.01
-4.212,0.01
-4.211,0.01
-4.210,0.01
-4.209,0.01
-4.208,-0.01
-4.207,0.01
-4.206,0.01
-4.205,0.03
-4.204,-0.01
-4.203,0.01
-4.202,-0.01
-4.201,0.01
-4.200,0.01
-4.199,0.01
-4.198,0.01
-4.197,-0.01
-4.196,0.01
-4.195,0.01
-4.194,0.01
-4.193,0.01
-4.192,0.01
-4.191,0.01
-4.190,0.01
-4.189,0.01
-4.188,0.01
-4.187,0.01
-4.186,0.01
-4.185,0.01
-4.184,0.03
-4.183,0.01
-4.182,0.03
-4.181,-0.01
-4.180,0.01
-4.179,0.01
-4.178,0.03
-4.177,0.01
-4.176,0.01
-4.175,0.01
-4.174,0.01
-4.173,0.01
-4.172,0.01
-4.171,0.01
-4.170,0.01
-4.169,0.01
-4.168,0.01
-4.167,0.01
-4.166,0.01
-4.165,0.01
-4.164,0.01
-4.163,-0.01
-4.162,0.01
-4.161,0.01
-4.160,-0.01
-4.159,-0.01
-4.158,0.01
-4.157,0.01
-4.156,0.01
-4.155,-0.01
-4.154,-0.01
-4.153,0.01
-4.152,0.01
-4.151,0.01
-4.150,-0.03
-4.149,-0.01
-4.148,0.01
-4.147,0.03
-4.146,0.01
-4.145,0.01
-4.144,-0.01
-4.143,0.01
-4.142,0.01
-4.141,0.01
-4.140,0.01
-4.139,0.01
-4.138,0.01
-4.137,-0.01
-4.136,0.03
-4.135,0.01
-4.134,-0.01
-4.133,-0.01
-4.132,0.01
-4.131,0.01
-4.130,0.01
-4.129,0.01
-4.128,0.01
-4.127,0.01
-4.126,0.01
-4.125,-0.01
-4.124,0.01
-4.123,0.01
-4.122,-0.01
-4.121,0.01
-4.120,0.01
-4.119,0.01
-4.118,-0.01
-4.117,0.01
-4.116,0.01
-4.115,0.01
-4.114,0.01
-4.113,0.01
-4.112,0.01
-4.111,0.03
-4.110,-0.01
-4.109,-0.01
-4.108,0.01
-4.107,0.03
-4.106,0.01
-4.105,0.01
-4.104,-0.01
-4.103,0.01
-4.102,0.01
-4.101,0.01
-4.100,0.01
-4.099,0.03
-4.098,0.01
-4.097,-0.01
-4.096,0.01
-4.095,0.01
-4.094,0.01
-4.093,0.01
-4.092,0.01
-4.091,0.01
-4.090,0.01
-4.089,0.01
-4.088,-0.01
-4.087,-0.01
-4.086,0.01
-4.085,0.01
-4.084,0.01
-4.083,0.01
