TIME,CH2
-4.43,0.02
-4.42,0
-4.42,0
-4.42,0
-4.42,0
-4.42,0
-4.42,0
-4.42,0
-4.42,0
-4.42,0
-4.42,0
-4.41,0.02
-4.41,0
-4.41,0
-4.41,0.02
-4.41,0
-4.41,-0.02
-4.41,0
-4.41,0.02
-4.41,0
-4.41,0
-4.4,0
-4.4,0
-4.4,0.02
-4.4,0.02
-4.4,-0.02
-4.4,-0.02
-4.4,0
-4.4,0
-4.4,-0.02
-4.4,0
-4.39,0
-4.39,0.04
-4.39,0
-4.39,0.02
-4.39,0
-4.39,0
-4.39,0
-4.39,0
-4.39,0
-4.39,0
-4.38,0
-4.38,0.02
-4.38,0.02
-4.38,-0.04
-4.38,0.02
-4.38,0
-4.38,0
-4.38,0
-4.38,0
-4.38,0
-4.37,0.02
-4.37,0
-4.37,0
-4.37,0.02
-4.37,0
-4.37,0
-4.37,0
-4.37,0
-4.37,0
-4.37,0
-4.36,0
-4.36,0
-4.36,0
-4.36,0
-4.36,0
-4.36,0
-4.36,0
-4.36,0
-4.36,-0.04
-4.36,-0.02
-4.35,0
-4.35,0
-4.35,0
-4.35,-0.02
-4.35,0
-4.35,0
-4.35,0
-4.35,0
-4.35,0
-4.35,0
-4.34,-0.02
-4.34,0.02
-4.34,0.02
-4.34,-0.04
-4.34,0.02
-4.34,0
-4.34,0
-4.34,-0.02
-4.34,0
-4.34,0
-4.33,0
-4.33,0
-4.33,0
-4.33,0
-4.33,0.02
-4.33,0
-4.33,-0.02
-4.33,0
-4.33,0
-4.33,0
-4.32,0.04
-4.32,0
-4.32,0
-4.32,0
-4.32,0
-4.32,-0.02
-4.32,-0.02
-4.32,0.04
-4.32,0
-4.32,0.02
-4.31,0
-4.31,0
-4.31,0
-4.31,0
-4.31,0.02
-4.31,-0.02
-4.31,0
-4.31,0
-4.31,0
-4.31,0
-4.3,0
-4.3,0
-4.3,0
-4.3,0
-4.3,0
-4.3,0
-4.3,0
-4.3,-0.02
-4.3,0
-4.3,0
-4.29,0
-4.29,0
-4.29,0
-4.29,0
-4.29,0
-4.29,0
-4.29,0
-4.29,0
-4.29,0
-4.29,-0.02
-4.28,-0.02
-4.28,0
-4.28,0
-4.28,0
-4.28,0
-4.28,0
-4.28,0
-4.28,0
-4.28,0
-4.28,-0.04
-4.27,0
-4.27,-0.02
-4.27,0
-4.27,-0.02
-4.27,-0.02
-4.27,-0.02
-4.27,0
-4.27,-0.02
-4.27,0
-4.27,0
-4.26,0.02
-4.26,-0.02
-4.26,0
-4.26,0
-4.26,-0.02
-4.26,0.02
-4.26,0
-4.26,0
-4.26,0
-4.26,0
-4.25,0
-4.25,0
-4.25,0
-4.25,0
-4.25,-0.02
-4.25,0
-4.25,0
-4.25,0
-4.25,0
-4.25,0.04
-4.24,0.02
-4.24,0.02
-4.24,0
-4.24,0
-4.24,0
-4.24,0
-4.24,0.02
-4.24,0
-4.24,0
-4.24,0
-4.23,-0.02
-4.23,0
-4.23,-0.02
-4.23,0
-4.23,0
-4.23,0
-4.23,0
-4.23,0
-4.23,0
-4.23,0
-4.22,0
-4.22,0
-4.22,0
-4.22,0
-4.22,0
-4.22,0
-4.22,0
-4.22,0
-4.22,0
-4.22,0
-4.21,0.02
-4.21,0.04
-4.21,0
-4.21,0
-4.21,0.02
-4.21,0
-4.21,0
-4.21,0
-4.21,0
-4.21,0
-4.2,0
-4.2,0
-4.2,0
-4.2,0
-4.2,0
-4.2,0
-4.2,0.02
-4.2,0
-4.2,0
-4.2,0
-4.19,0
-4.19,0.04
-4.19,0.02
-4.19,0
-4.19,0
-4.19,0
-4.19,0
-4.19,0
-4.19,0
-4.19,0
-4.18,0
-4.18,0
-4.18,0
-4.18,0
-4.18,0.02
-4.18,0
-4.18,0.02
-4.18,0.02
-4.18,0
-4.18,0
-4.17,0.02
-4.17,0
-4.17,0
-4.17,-0.02
-4.17,0
-4.17,0
-4.17,0
-4.17,0
-4.17,0
-4.17,-0.02
-4.16,-0.02
-4.16,0.02
-4.16,0
-4.16,0
-4.16,0
-4.16,0
-4.16,0
-4.16,0
-4.16,0
-4.16,0
-4.15,0.02
-4.15,0
-4.15,0.02
-4.15,0
-4.15,0
-4.15,-0.02
-4.15,0
-4.15,0
-4.15,0
-4.15,0
-4.14,0
-4.14,0
-4.14,0
-4.14,0
-4.14,0.02
-4.14,0
-4.14,0
-4.14,0.02
-4.14,0
-4.14,0
-4.13,-0.02
-4.13,0
-4.13,0
-4.13,-0.02
-4.13,0
-4.13,0
-4.13,0.02
-4.13,0
-4.13,0
-4.13,0
-4.12,0
-4.12,0
-4.12,0
-4.12,0
-4.12,0
-4.12,0
-4.12,0.02
-4.12,0
-4.12,0
-4.12,0
-4.11,0
-4.11,-0.02
-4.11,0.02
-4.11,0
-4.11,-0.02
-4.11,0
-4.11,0
-4.11,0
-4.11,0
-4.11,0
-4.1,0
-4.1,0
-4.1,0.02
-4.1,0
-4.1,0
-4.1,0
-4.1,0
-4.1,0
-4.1,-0.02
-4.1,0
-4.09,0
-4.09,0.02
-4.09,0
-4.09,0
